site,plant.year,year,plot,abg,decomp,floral.cov,alpha.hill1,age,plant.height,SLA,seed.mass,FDis,ANDGER
5,2014,2020,7,806,0.007329193,0,1.90301074,6,1.272203087,10.90246351,1.543945391,1.200413617,85
5,2014,2020,8,1617,0.001242236,0.3,1.888341057,6,1.284238656,11.33962125,1.560772332,1.111564594,90
6,2015,2019,1,490,0.005093168,0.57,6.584621973,4,0.993047443,12.98449363,1.289125781,1.892577076,35
6,2015,2019,2,470,0.000993789,1.54,3.760038139,4,1.195119701,12.79791218,1.542979813,1.479779218,70
6,2015,2019,3,385,0.001490683,0.9,5.723936129,4,1.007630091,13.96902862,1.462425075,1.553287319,30
6,2015,2019,4,519,0.00621118,2.96,6.335897625,4,0.879047577,10.94028602,1.144827069,1.976186119,27
6,2015,2020,5,454,0.000559006,2.46,4.459552639,5,1.160989796,13.41809116,1.423071496,1.474435153,38
6,2015,2020,6,597,0.001428571,0.19,2.643920136,5,1.195611378,11.14132065,1.435594188,1.530421869,55
6,2015,2020,7,570,0.003540373,0.45,2.846058927,5,1.21187496,11.43399492,1.471637706,1.471348616,70
6,2015,2020,8,794,0.001987578,0.4,2.861161791,5,1.105766293,9.725884085,1.317091906,1.925495464,65
7,2015,2019,1,304,0.002670807,1.26,4.380203573,4,1.091874578,11.34827652,1.335239198,1.849330096,45
7,2015,2019,2,472,0.010931677,0.46,8.104348642,4,0.929975235,10.37013182,1.066326877,1.93565437,30
7,2015,2019,3,459,0.015962733,2.18,5.251742742,4,1.095636574,12.1639744,1.333651401,1.803860659,65
7,2015,2019,4,628,0.020372671,3.19,7.216743995,4,0.844510148,14.68065641,1.11152941,1.286878968,10
7,2015,2020,5,296,0.000559006,2.74,4.451766937,5,0.903047614,13.56124272,1.184793827,1.586931182,20
7,2015,2020,6,363,0.00068323,2.45,4.92254609,5,1.040066738,16.23588685,1.037048883,2.056848226,30
7,2015,2020,7,438,0.000993789,0.77,3.250128112,5,1.106888846,10.27824891,1.265355741,1.9575345,55
7,2015,2020,8,565,0.004906832,1.55,3.465656388,5,0.910615472,7.887451141,0.968410732,1.928800125,35
8,2014,2019,1,502,0.002732919,2.12,5.75733663,5,0.922907417,10.87267744,1.133115346,2.079579674,27
8,2014,2019,2,837,0.003229814,0.42,4.068988136,5,0.983622184,10.44048782,1.201085987,2.12061707,40
8,2014,2019,3,489,0.002608696,0.46,8.527436059,5,0.752372047,9.780543214,0.980253984,1.656022067,10
8,2014,2019,4,868,0.002919255,0.82,4.283903719,5,1.140791665,10.89786071,1.390357523,1.776162478,60
8,2014,2020,5,182,0.001118012,4.15,5.043221841,6,0.752387745,14.07919905,0.645837143,1.605288046,0
